datetime,snow
20170304 044900,0.06
20170304 045000,0.07
20170304 045100,0.07
20170304 045200,0.08
20170304 045300,0.09
20170304 045400,0.08
20170304 045500,0.09
20170304 045600,0.09
20170304 045700,0.08
20170304 045800,0.08
20170304 045900,0.09
20170304 050000,0.08
20170304 050100,0.08
20170304 050200,0.09
20170304 050300,0.02
20170304 050400,0.1
20170304 050500,0.1
20170304 050600,0.02
20170304 050700,0.04
20170304 050800,0.02
20170304 050900,-0.01
20170304 051000,0.01
20170304 051100,0.01
20170304 051200,0.08
20170304 051300,0.08
20170304 051400,0.08
20170304 051500,0.1
20170304 051600,0.14
20170304 051700,0.09
20170304 051800,0.12
20170304 051900,0.15
20170304 052000,0.18
20170304 052100,0.18
20170304 052200,0.18
20170304 052300,0.24
20170304 052400,0.25
20170304 052500,0.3
20170304 052600,0.29
20170304 052700,0.33
20170304 052800,0.38
20170304 052900,0.4
20170304 053000,0.41
20170304 053100,0.39
20170304 053200,0.44
20170304 053300,0.47
20170304 053400,0.5
20170304 053500,0.48
20170304 053600,0.54
20170304 053700,0.53
20170304 053800,0.57
20170304 053900,0.6
20170304 054000,0.63
20170304 054100,0.62
20170304 054200,0.64
20170304 054300,0.67
20170304 054400,0.69
20170304 054500,0.73
20170304 054600,0.74
20170304 054700,0.78
20170304 054800,0.79
20170304 054900,0.85
20170304 055000,0.84
20170304 055100,0.88
20170304 055200,0.89
20170304 055300,0.92
20170304 055400,0.95
20170304 055500,0.93
20170304 055600,0.97
20170304 055700,0.98
20170304 055800,1.02
20170304 055900,1.01
20170304 060000,0.97
20170304 060100,1.06
20170304 060200,1.05
20170304 060300,1.06
20170304 060400,1.11
20170304 060500,1.14
20170304 060600,1.13
20170304 060700,1.19
20170304 060800,1.21
20170304 060900,1.21
20170304 061000,1.24
20170304 061100,1.21
20170304 061200,1.22
20170304 061300,1.3
20170304 061400,1.28
20170304 061500,1.32
20170304 061600,1.31
20170304 061700,1.36
20170304 061800,1.37
20170304 061900,1.43
20170304 062000,1.41
20170304 062100,1.43
20170304 062200,1.48
20170304 062300,1.48
20170304 062400,1.54
20170304 062500,1.54
20170304 062600,1.63
20170304 062700,1.64
20170304 062800,1.71
20170304 062900,1.73
20170304 063000,1.78
20170304 063100,1.82
20170304 063200,1.83
20170304 063300,1.89
20170304 063400,1.92
20170304 063500,2.0
20170304 063600,2.06
20170304 063700,2.1
20170304 063800,2.16
20170304 063900,2.19
20170304 064000,2.24
20170304 064100,2.27
20170304 064200,2.33
20170304 064300,2.34
20170304 064400,2.36
20170304 064500,2.37
20170304 064600,2.42
20170304 064700,2.48
20170304 064800,2.48
20170304 064900,2.52
20170304 065000,2.54
20170304 065100,2.57
20170304 065200,2.62
20170304 065300,2.63
20170304 065400,2.66
20170304 065500,2.71
20170304 065600,2.74
20170304 065700,2.75
20170304 065800,2.78
20170304 065900,2.81
20170304 070000,2.83
20170304 070100,2.87
20170304 070200,2.87
20170304 070300,2.9
20170304 070400,2.93
20170304 070500,2.95
20170304 070600,2.97
20170304 070700,3.01
20170304 070800,3.01
20170304 070900,3.04
20170304 071000,3.04
20170304 071100,3.09
20170304 071200,3.1
20170304 071300,3.12
20170304 071400,3.15
20170304 071500,3.16
20170304 071600,3.19
20170304 071700,3.21
20170304 071800,3.24
20170304 071900,3.25
20170304 072000,3.27
20170304 072100,3.3
20170304 072200,3.32
20170304 072300,3.34
20170304 072400,3.36
20170304 072500,3.38
20170304 072600,3.4
20170304 072700,3.42
20170304 072800,3.45
20170304 072900,3.46
20170304 073000,3.49
20170304 073100,3.51
20170304 073200,3.53
20170304 073300,3.56
20170304 073400,3.59
20170304 073500,3.61
20170304 073600,3.63
