datetime,snow
20170304 111900,7.08
20170304 112000,7.16
20170304 112100,7.24
20170304 112200,7.24
20170304 112300,7.22
20170304 112400,7.26
20170304 112500,7.32
20170304 112600,7.26
20170304 112700,7.33
20170304 112800,7.44
20170304 112900,7.44
20170304 113000,7.46
20170304 113100,7.5
20170304 113200,7.45
20170304 113300,7.45
20170304 113400,7.51
20170304 113500,7.48
20170304 113600,7.53
20170304 113700,7.52
20170304 113800,7.59
20170304 113900,7.55
20170304 114000,7.68
20170304 114100,7.66
20170304 114200,7.7
20170304 114300,7.67
20170304 114400,7.65
20170304 114500,7.62
20170304 114600,7.72
20170304 114700,7.71
20170304 114800,7.75
20170304 114900,7.67
20170304 115000,7.8
20170304 115100,7.76
20170304 115200,7.87
20170304 115300,7.83
20170304 115400,7.8
20170304 115500,7.85
20170304 115600,7.91
20170304 115700,7.9
20170304 115800,7.93
20170304 115900,7.9
20170304 120000,7.95
20170304 120100,7.92
20170304 120200,7.92
20170304 120300,8.0
20170304 120400,7.97
20170304 120500,8.01
20170304 120600,7.96
20170304 120700,8.01
20170304 120800,8.05
20170304 120900,8.0
20170304 121000,8.03
20170304 121100,8.06
20170304 121200,8.0
20170304 121300,8.13
20170304 121400,7.97
20170304 121500,8.19
20170304 121600,8.09
20170304 121700,8.14
20170304 121800,8.15
20170304 121900,8.19
20170304 122000,8.18
20170304 122100,8.21
20170304 122200,8.25
20170304 122300,8.16
20170304 122400,8.32
20170304 122500,8.28
20170304 122600,8.39
20170304 122700,8.39
20170304 122800,8.36
20170304 122900,8.36
20170304 123000,8.47
20170304 123100,8.36
20170304 123200,8.45
20170304 123300,8.49
20170304 123400,8.51
20170304 123500,8.6
20170304 123600,8.56
20170304 123700,8.6
20170304 123800,8.66
20170304 123900,8.66
20170304 124000,8.67
20170304 124100,8.72
20170304 124200,8.72
20170304 124300,8.72
20170304 124400,8.84
20170304 124500,8.79
20170304 124600,8.79
20170304 124700,8.8
20170304 124800,8.85
20170304 124900,8.8
20170304 125000,8.84
20170304 125100,8.86
20170304 125200,8.88
20170304 125300,8.9
20170304 125400,8.96
20170304 125500,9.01
20170304 125600,8.91
20170304 125700,8.97
20170304 125800,8.97
20170304 125900,8.96
20170304 130000,9.05
20170304 130100,9.11
20170304 130200,9.05
20170304 130300,9.1
20170304 130400,9.11
20170304 130500,9.12
20170304 130600,9.09
20170304 130700,9.15
20170304 130800,9.2
20170304 130900,9.13
20170304 131000,9.21
20170304 131100,9.19
20170304 131200,9.24
20170304 131300,9.19
20170304 131400,9.18
20170304 131500,9.23
20170304 131600,9.29
20170304 131700,9.23
20170304 131800,9.24
20170304 131900,9.28
20170304 132000,9.26
20170304 132100,9.29
20170304 132200,9.27
20170304 132300,9.29
20170304 132400,9.27
20170304 132500,9.25
20170304 132600,9.31
20170304 132700,9.36
20170304 132800,9.26
20170304 132900,9.24
20170304 133000,9.4
20170304 133100,9.35
20170304 133200,9.33
20170304 133300,9.34
20170304 133400,9.3
20170304 133500,9.29
20170304 133600,9.4
20170304 133700,9.36
20170304 133800,9.31
20170304 133900,9.39
20170304 134000,9.43
20170304 134100,9.3
20170304 134200,9.3
20170304 134300,9.33
20170304 134400,9.38
20170304 134500,9.4
20170304 134600,9.4
20170304 134700,9.28
20170304 134800,9.35
20170304 134900,9.43
20170304 135000,9.34
20170304 135100,9.46
20170304 135200,9.42
20170304 135300,9.37
20170304 135400,9.42
20170304 135500,9.38
20170304 135600,9.41
20170304 135700,9.44
20170304 135800,9.39
20170304 135900,9.41
20170304 140000,9.39
20170304 140100,9.51
20170304 140200,9.52
20170304 140300,9.43
20170304 140400,9.44
20170304 140500,9.5
20170304 140600,9.53
20170304 140700,9.5
20170304 140800,9.5
20170304 140900,9.55
20170304 141000,9.51
20170304 141100,9.54
20170304 141200,9.52
20170304 141300,9.54
20170304 141400,9.56
20170304 141500,9.5
20170304 141600,9.53
20170304 141700,9.54
20170304 141800,9.5
20170304 141900,9.58
20170304 142000,9.52
20170304 142100,9.53
20170304 142200,9.53
20170304 142300,9.53
20170304 142400,9.6
20170304 142500,9.48
20170304 142600,9.49
20170304 142700,9.58
20170304 142800,9.58
20170304 142900,9.53
20170304 143000,9.51
20170304 143100,9.56
20170304 143200,9.54
20170304 143300,9.5
20170304 143400,9.58
20170304 143500,9.64
20170304 143600,9.59
20170304 143700,9.51
20170304 143800,9.57
20170304 143900,9.52
20170304 144000,9.58
20170304 144100,9.52
20170304 144200,9.51
20170304 144300,9.55
20170304 144400,9.52
20170304 144500,9.55
20170304 144600,9.52
20170304 144700,9.57
20170304 144800,9.55
20170304 144900,9.47
20170304 145000,9.51
20170304 145100,9.54
20170304 145200,9.52
20170304 145300,9.54
20170304 145400,9.54
20170304 145500,9.57
20170304 145600,9.55
20170304 145700,9.55
20170304 145800,9.54
20170304 145900,9.57
20170304 150000,9.53
20170304 150100,9.61
20170304 150200,9.57
20170304 150300,9.54
20170304 150400,9.52
20170304 150500,9.56
20170304 150600,9.62
20170304 150700,9.43
20170304 150800,9.66
20170304 150900,9.59
20170304 151000,9.53
20170304 151100,9.6
20170304 151200,9.6
20170304 151300,9.57
20170304 151400,9.61
20170304 151500,9.65
20170304 151600,9.6
20170304 151700,9.7
20170304 151800,9.62
20170304 151900,9.61
20170304 152000,9.67
20170304 152100,9.71
20170304 152200,9.69
20170304 152300,9.67
20170304 152400,9.7
20170304 152500,9.7
20170304 152600,9.74
20170304 152700,9.83
20170304 152800,9.88
20170304 152900,9.89
20170304 153000,9.94
20170304 153100,9.91
20170304 153200,9.99
20170304 153300,9.94
20170304 153400,9.95
20170304 153500,9.94
20170304 153600,10.02
20170304 153700,9.96
20170304 153800,9.92
20170304 153900,9.94
20170304 154000,9.97
20170304 154100,9.96
20170304 154200,9.94
20170304 154300,9.91
20170304 154400,9.96
20170304 154500,9.96
20170304 154600,10.0
20170304 154700,9.98
20170304 154800,10.0
20170304 154900,10.06
20170304 155000,10.03
20170304 155100,10.08
20170304 155200,10.11
20170304 155300,10.13
20170304 155400,10.1
20170304 155500,10.12
20170304 155600,10.18
20170304 155700,10.14
20170304 155800,10.16
20170304 155900,10.22
20170304 160000,10.21
20170304 160100,10.23
20170304 160200,10.24
20170304 160300,10.28
20170304 160400,10.37
20170304 160500,10.34
20170304 160600,10.41
20170304 160700,10.38
20170304 160800,10.42
20170304 160900,10.37
20170304 161000,10.33
20170304 161100,10.45
20170304 161200,10.43
20170304 161300,10.41
20170304 161400,10.44
20170304 161500,10.46
20170304 161600,10.32
20170304 161700,10.42
20170304 161800,10.38
20170304 161900,10.36
20170304 162000,10.37
20170304 162100,10.45
20170304 162200,10.33
20170304 162300,10.36
20170304 162400,10.31
20170304 162500,10.34
20170304 162600,10.42
20170304 162700,10.37
20170304 162800,10.35
20170304 162900,10.5
20170304 163000,10.33
20170304 163100,10.36
20170304 163200,10.36
20170304 163300,10.39
20170304 163400,10.35
20170304 163500,10.3
20170304 163600,10.47
20170304 163700,10.44
20170304 163800,10.36
20170304 163900,10.44
20170304 164000,10.44
20170304 164100,10.34
20170304 164200,10.39
20170304 164300,10.37
20170304 164400,10.35
20170304 164500,10.4
20170304 164600,10.43
20170304 164700,10.34
20170304 164800,10.35
20170304 164900,10.47
20170304 165000,10.38
20170304 165100,10.42
20170304 165200,10.4
20170304 165300,10.43
20170304 165400,10.48
20170304 165500,10.46
20170304 165600,10.37
20170304 165700,10.4
20170304 165800,10.34
20170304 165900,10.44
20170304 170000,10.38
20170304 170100,10.51
20170304 170200,10.39
20170304 170300,10.41
20170304 170400,10.43
20170304 170500,10.37
20170304 170600,10.43
20170304 170700,10.37
20170304 170800,10.37
20170304 170900,10.54
20170304 171000,10.45
20170304 171100,10.46
20170304 171200,10.37
20170304 171300,10.36
20170304 171400,10.38
20170304 171500,10.44
20170304 171600,10.41
20170304 171700,10.44
20170304 171800,10.41
20170304 171900,10.39
20170304 172000,10.44
20170304 172100,10.45
20170304 172200,10.45
20170304 172300,10.4
20170304 172400,10.41
20170304 172500,10.43
20170304 172600,10.41
20170304 172700,10.43
20170304 172800,10.33
20170304 172900,10.41
20170304 173000,10.46
20170304 173100,10.37
20170304 173200,10.39
20170304 173300,10.36
20170304 173400,10.39
20170304 173500,10.4
20170304 173600,10.42
20170304 173700,10.34
20170304 173800,10.42
20170304 173900,10.39
20170304 174000,10.41
20170304 174100,10.48
20170304 174200,10.39
20170304 174300,10.42
20170304 174400,10.53
20170304 174500,10.39
20170304 174600,10.43
20170304 174700,10.45
20170304 174800,10.44
20170304 174900,10.38
20170304 175000,10.44
20170304 175100,10.38
20170304 175200,10.41
20170304 175300,10.41
20170304 175400,10.39
20170304 175500,10.41
20170304 175600,10.4
20170304 175700,10.38
20170304 175800,10.44
20170304 175900,10.36
20170304 180000,10.49
20170304 180100,10.43
20170304 180200,10.47
20170304 180300,10.5
20170304 180400,10.59
20170304 180500,10.57
20170304 180600,10.56
20170304 180700,10.66
20170304 180800,10.73
20170304 180900,10.73
20170304 181000,10.8
20170304 181100,10.84
20170304 181200,10.88
20170304 181300,10.99
20170304 181400,10.96
20170304 181500,11.03
20170304 181600,11.11
20170304 181700,11.16
20170304 181800,11.17
20170304 181900,11.21
20170304 182000,11.3
20170304 182100,11.33
20170304 182200,11.32
20170304 182300,11.33
20170304 182400,11.37
20170304 182500,11.47
20170304 182600,11.48
20170304 182700,11.47
20170304 182800,11.55
20170304 182900,11.53
20170304 183000,11.56
20170304 183100,11.64
20170304 183200,11.64
20170304 183300,11.71
20170304 183400,11.77
20170304 183500,11.77
20170304 183600,11.74
20170304 183700,11.86
20170304 183800,11.82
20170304 183900,11.94
20170304 184000,11.94
20170304 184100,11.86
20170304 184200,11.96
20170304 184300,11.97
20170304 184400,11.95
20170304 184500,12.01
20170304 184600,12.03
20170304 184700,12.11
20170304 184800,12.16
20170304 184900,12.15
20170304 185000,12.18
20170304 185100,12.23
20170304 185200,12.28
20170304 185300,12.29
20170304 185400,12.24
20170304 185500,12.31
20170304 185600,12.5
20170304 185700,12.4
20170304 185800,12.39
20170304 185900,12.48
20170304 190000,12.5
20170304 190100,12.41
20170304 190200,12.6
20170304 190300,12.36
20170304 190400,12.5
20170304 190500,12.51
20170304 190600,12.6
20170304 190700,12.53
20170304 190800,12.51
20170304 190900,12.58
20170304 191000,12.5
20170304 191100,12.56
20170304 191200,12.62
20170304 191300,12.58
20170304 191400,12.6
20170304 191500,12.7
20170304 191600,12.57
20170304 191700,12.65
20170304 191800,12.64
20170304 191900,12.7
20170304 192000,12.63
20170304 192100,12.66
20170304 192200,12.71
20170304 192300,12.77
20170304 192400,12.77
20170304 192500,12.64
20170304 192600,12.84
20170304 192700,12.79
20170304 192800,12.75
20170304 192900,12.83
20170304 193000,12.81
20170304 193100,12.78
20170304 193200,12.91
20170304 193300,12.84
20170304 193400,12.79
20170304 193500,12.91
20170304 193600,12.89
20170304 193700,12.92
20170304 193800,12.85
20170304 193900,12.99
20170304 194000,12.9
20170304 194100,12.93
20170304 194200,12.9
20170304 194300,13.04
20170304 194400,13.05
20170304 194500,13.06
20170304 194600,13.02
20170304 194700,12.97
20170304 194800,12.98
20170304 194900,13.0
20170304 195000,12.95
20170304 195100,13.07
20170304 195200,12.98
20170304 195300,12.98
20170304 195400,12.97
20170304 195500,12.97
20170304 195600,13.04
20170304 195700,12.98
20170304 195800,13.12
20170304 195900,13.08
20170304 200000,13.11
20170304 200100,13.09
20170304 200200,13.18
20170304 200300,13.11
20170304 200400,13.11
20170304 200500,13.18
20170304 200600,13.12
20170304 200700,13.16
20170304 200800,13.14
20170304 200900,13.19
20170304 201000,13.23
20170304 201100,13.09
20170304 201200,13.12
20170304 201300,13.19
20170304 201400,13.2
20170304 201500,13.18
20170304 201600,13.21
20170304 201700,13.11
20170304 201800,13.13
20170304 201900,13.11
20170304 202000,13.12
20170304 202100,13.17
20170304 202200,13.23
20170304 202300,13.14
20170304 202400,13.1
20170304 202500,13.22
20170304 202600,13.11
20170304 202700,13.15
20170304 202800,13.2
20170304 202900,13.23
20170304 203000,13.22
20170304 203100,13.2
20170304 203200,13.16
20170304 203300,13.18
20170304 203400,13.1
20170304 203500,13.17
20170304 203600,13.24
20170304 203700,13.09
20170304 203800,13.17
20170304 203900,13.14
20170304 204000,13.17
20170304 204100,13.2
20170304 204200,13.08
20170304 204300,13.11
20170304 204400,13.1
20170304 204500,13.17
20170304 204600,13.14
20170304 204700,13.18
20170304 204800,13.14
20170304 204900,13.08
20170304 205000,13.21
20170304 205100,13.09
20170304 205200,13.12
20170304 205300,13.1
20170304 205400,13.14
20170304 205500,13.13
20170304 205600,13.18
20170304 205700,13.1
20170304 205800,13.18
20170304 205900,13.14
20170304 210000,13.11
20170304 210100,13.1
20170304 210200,13.13
